Date,Total_KW,DNI(KWH),Energy_conversion
2011-05-14,13.16674615858,0.05,15.747341795281807
2011-05-15,118.0104178284011,4.6850000000000005,1.5062933132818432
2011-05-16,174.1348583536918,11.144,0.9344227617472055
2011-05-17,174.8587186540238,11.002,0.9504175481543687
2011-05-18,165.1280674632893,10.122,0.9755585975085971
2011-05-19,551.0544333536011,4.547,7.247168215029479
2011-05-20,111.55013101088001,1.714,3.8918676463327433
2011-05-21,159.997179867791,5.239,1.82626049500112
2011-05-22,95.52308249939999,3.2880000000000003,1.7373019817807422
2011-05-23,194.708868842276,6.584,1.7684578246314338
2011-05-24,165.548380361537,6.054,1.635239295846891
2011-05-25,51.91978886775,0.27,11.499208510988188
2011-05-26,193.7136227037157,6.393,1.8119835641517454
2011-05-27,150.281863779387,3.765,2.386933871600052
2011-05-28,81.0071179085943,1.8330000000000002,2.642770871707253
2011-05-29,60.436739643654,1.341,2.6950761768502365
2011-05-30,211.06157945955,7.667,1.646199691392905
2011-05-31,167.1508429656577,6.573,1.5207006593239683
2011-06-01,208.830732513148,9.369,1.3329073668733151
2011-06-02,41.95717854138,0.22799999999999998,11.004497706729826
2011-06-03,207.557107767628,7.473,1.6608921155288194
2011-06-04,130.22340745195,2.55,3.053849778581752
2011-06-05,182.47562146905426,5.853,1.8643400218601798
2011-06-06,207.62988558124,7.853,1.5810771512370272
2011-06-07,210.62716332803,7.915,1.5913373458146796
2011-06-08,167.0189835339,3.844,2.598251894663284
2011-06-09,43.842523362092,0.492,5.328797718143244
2011-06-10,94.0538612955,0.765,7.352143753367395
2011-06-11,90.256858162997,1.9989999999999999,2.7000152240269335
2011-06-12,160.43154956973,3.4,2.821692323124533
2011-06-13,138.06423771588,4.681,1.7637675723844455
2011-06-14,128.0737575177227,1.641,4.667135025187475
2011-06-15,110.84044923831,4.12,1.6087918468999243
2011-06-16,211.41034169481,7.627,1.657567706945153
2011-06-17,119.28963143176,2.414,2.955045868051059
2011-06-18,76.11311105069,0.541,8.41319594707342
2011-06-19,153.7715769150879,4.46,2.061768996486272
2011-06-20,151.21200677024,2.841,3.182832900916881
2011-06-21,172.361397885855,5.215,1.9764438934270674
2011-06-22,56.83638897573,0.061,55.71798962890384
2011-06-23,84.305719493388,0.6910000000000001,7.295881762237285
2011-06-24,189.284427926469,8.187,1.3825756119087462
2011-06-25,44.2797186938233,0.275,9.628773143168196
2011-06-26,192.98142584676398,6.67,1.7301687847668092
2011-06-27,171.61848459411001,5.016,2.045998591251723
2011-06-28,228.52652071266,11.316,1.207653833214722
2011-06-29,234.516623896135,10.439,1.3434253258832742
2011-06-30,226.0251755248943,9.377,1.441423819677649
2011-07-01,219.555182431,8.643,1.5190706581130926
2011-07-02,223.03317174946199,9.369,1.4235575104505382
2011-07-03,123.8450677123853,2.363,3.1341067781556915
2011-07-04,232.023790516861,10.751,1.2905726314485448
2011-07-05,161.9982194562938,3.593,2.696198230605354
2011-07-06,182.9087915124582,5.118,2.1371405967319936
2011-07-07,146.9477282921837,4.453,1.9733720685000158
2011-07-08,182.973462570265,6.446,1.6974484768943525
2011-07-09,219.538361767452,8.804,1.4911769454706467
2011-07-10,171.074979889913,5.384,1.9001165548226926
2011-07-11,150.3504224671,2.59,3.4713922060040954
2011-07-12,108.57838407325329,2.457,2.642633966766967
2011-07-13,181.3951785367073,5.309,2.043204372941987
2011-07-14,165.36527289400163,3.712,2.66400563866438
2011-07-15,201.7407904877335,4.73,2.550535500842581
2011-07-16,147.05672345413,3.0629999999999997,2.871023080596359
2011-07-17,201.22283190894694,7.2379999999999995,1.6624839964533866
2011-07-18,207.823287990851,7.475,1.6625771597524293
2011-07-19,212.19427653714567,8.734,1.452844967552966
2011-07-20,222.10705493526,9.696,1.3698358946493356
2011-07-21,192.1844881889,7.176,1.601528593166904
2011-07-22,177.69352643735002,5.663,1.8763931551958544
2011-07-23,91.58320884005,1.2970000000000002,4.2225487795553365
2011-07-24,116.06723267165,2.721,2.5508204114155837
2011-07-25,221.97826612824,9.75,1.361459210894212
2011-07-26,169.48157732999,7.279,1.3923536999792827
2011-07-27,178.32123542482,3.723,2.8642361613947025
2011-07-28,127.60455412309,2.1390000000000002,3.5674195267198496
2011-07-29,155.01126032964999,3.155,2.9380736560348506
2011-07-30,221.37943653997002,9.365,1.4136057120975964
2011-07-31,211.828791878306,9.493,1.33438239589342
2011-08-01,191.70159500422702,5.893,1.9453066911496615
2011-08-02,200.573450480307,5.837,2.0548614648753336
2011-08-03,211.5573007461288,9.016,1.403178460936666
2011-08-04,148.2872437436,2.505,3.5399314987868484
2011-08-05,128.321935424652,1.217,6.305348836106619
2011-08-06,167.890950288234,6.1290000000000004,1.6380851049447784
2011-08-07,214.20350982746746,9.033,1.4180559544487605
2011-08-08,180.21529178813373,4.904,2.1975561126523098
2011-08-09,222.30024388740006,8.682,1.531154281308274
2011-08-10,225.7033272807,8.266,1.63283144664527
2011-08-11,213.0773932189,10.291,1.2381651961637385
2011-08-12,164.4632246179,4.657,2.111841687887771
2011-08-13,175.5928250636,5.399,1.9448774192703748
2011-08-14,217.54372813993993,9.292,1.4000261938258445
2011-08-15,220.3858275251,9.526,1.3834768004934888
2011-08-16,193.9133423055,5.396,2.148990750949109
2011-08-17,165.83987428763,5.788,1.713401855211751
2011-08-18,187.2344590086,6.606,1.6949075185648514
2011-08-19,205.46517653048,9.17,1.3398854939365121
2011-08-20,177.13950825924,4.599,2.3033016597170515
2011-08-21,213.8659436739,9.587,1.3340057464876622
2011-08-22,210.4947598659,8.733,1.441373801515524
2011-08-23,173.5927082858,6.0680000000000005,1.7107427259662331
2011-08-24,204.46894286388002,8.901,1.373685600920637
2011-08-25,209.30109308209,9.981,1.2539962456224907
2011-08-26,126.95307296548,4.151,1.8288971353167083
2011-08-27,200.85874264271,8.291,1.4487138762461638
2011-08-28,119.44988906989,3.095,2.3079366977470066
2011-08-29,205.94372671048,9.139,1.3475617816793446
2011-08-30,35.2654182994579,0.232,9.089915584376278
2011-08-31,188.7423925953,7.337,1.5383307891737004
2011-09-01,166.11255774626,6.353,1.5635882762642206
2011-09-02,171.36604183860229,5.489,1.8669398688225993
2011-09-03,25.53423454495,0.136,11.227491379591601
2011-09-04,213.01427673007,8.664,1.4702428079926018
2011-09-05,211.102759707945,9.945,1.2693690899164722
2011-09-06,188.33227563384,9.76,1.1539147685203748
2011-09-07,112.306505476018,9.678,0.6939338799400062
2011-09-08,73.583686996992,7.495,0.587095434406748
2011-09-09,182.642141769081,7.545,1.447573228246654
2011-09-10,169.55975809743,6.536,1.5513491074554162
2011-09-11,183.867408800463,8.739,1.258177202495656
2011-09-12,185.3103256857,7.133,1.5535534176046484
2011-09-13,182.9290588613,8.209,1.3325737062820306
2011-09-14,128.450606174679,5.115,1.5017212125266455
2011-09-15,183.38290840304,7.968999999999999,1.3761121355496233
2011-09-16,39.1981352015,0.05,46.880711857078786
2011-09-17,70.3217364744,0.929,4.52660571848999
2011-09-18,23.27225104085,0.05499999999999999,25.303144691664745
2011-09-19,168.48659135564,8.246,1.221858203751171
2011-09-20,151.5211236168,4.261,2.1264757937716907
2011-09-21,157.0596241978,7.767,1.2092331492728405
2011-09-22,121.271342555,5.521,1.3135276940524916
2011-09-23,81.5473538907,0.607,8.033780793882503
2011-09-24,109.29226329720001,3.003,2.1763707622860022
2011-09-25,128.4211560738,2.209,3.476479355240975
2011-09-26,11.63580054558,0.021,33.13414503009205
2011-09-27,147.8241033018,5.086,1.7380717181217988
2011-09-28,77.312603790556,2.037,2.2696456940106606
2011-09-29,99.3280047243,4.791,1.2397791721377716
2011-09-30,168.0599248658,8.943,1.1237759401061795
2011-10-01,168.92550788740002,9.224,1.0951528417576488
2011-10-02,153.6942238051,8.605,1.068084141056687
2011-10-03,154.1604407432,8.062,1.1434809790812785
2011-10-04,156.3908239654,8.178,1.1435705351518486
2011-10-05,152.1987406232,8.214,1.1080392782294723
2011-10-06,139.6139399416,7.351,1.135745842706487
2011-10-07,147.758323849,7.002,1.261910763885286
2011-10-08,145.7388040943,7.48,1.1651246726751479
2011-10-09,139.60552330618,7.6370000000000005,1.0931470967271817
2011-10-10,109.3267387425,3.077,2.124700363807245
2011-10-11,108.18282165676,5.4,1.198017991470352
2011-10-12,48.19716901076,0.789,3.652946584134025
2011-10-13,136.40101496347,7.675,1.062766883748329
2011-10-14,89.84993316464,3.843,1.3981255404020265
2011-10-15,139.20222118854,7.053,1.1802420308685597
2011-10-16,94.316700237934,3.798,1.4850204459284775
2011-10-17,52.5481698408,1.48,2.1232184280282675
2011-10-18,62.08213630879,1.974,1.8806946973471694
2011-10-19,64.604952920163,1.17,3.302012765960341
2011-10-20,56.819102712356,2.086,1.6288416368642327
2011-10-21,120.50442245091101,7.115,1.0128074250004104
2011-10-22,118.093888813401,6.6,1.0699963197234807
2011-10-23,89.703087807789,4.397,1.2199716051222356
2011-10-24,77.42963685632,6.537,0.7083167840814502
2011-10-25,63.4722697601,1.8639999999999999,2.036277283121928
2011-10-26,47.865402338186996,0.23399999999999999,12.232202209313414
2011-10-27,95.26088803020001,6.043,0.9426724760999848
2011-10-28,92.66442104255,5.353,1.035176891683922
2011-10-29,118.2028892371,7.013,1.007913004372185
2011-10-30,52.4784357737,1.913,1.6404564554127885
2011-10-31,121.37908912981,6.73,1.078518515393728
2011-11-01,116.5937889111,6.676,1.0443784046431275
2011-11-02,13.231683992146001,0.0,0.0
2011-11-03,76.9456871427,3.993,1.152348305493651
2011-11-04,115.362255476737,6.736,1.0241426566317888
2011-11-05,19.734734236471,0.38,3.10560688584888
2011-11-06,73.6555867542,3.473,1.2682349158398836
2011-11-07,89.917725754548,4.13,1.301949255773517
2011-11-08,9.186697232558,0.0,0.0
2011-11-09,60.334825077059996,3.318,1.087402861842484
2011-11-10,75.219284119199,2.4099999999999997,1.8664267430878096
2011-11-11,103.9299278795,5.974,1.0403373794490833
2011-11-12,78.34913709610001,3.604,1.3000146030680684
2011-11-13,72.2599702595,3.942,1.0961751535628095
2011-11-14,83.0556540450348,4.542,1.0935052388900723
2011-11-15,102.926449098,6.241,0.9862149981953982
2011-11-16,105.1924049721,6.926,0.9082401414582545
2011-11-17,104.3448465276,7.054,0.8845743554747959
2011-11-18,88.7739541429,4.207,1.2618619586766078
2011-11-19,12.19490056556,0.0,0.0
2011-11-20,34.4846849937,0.71,2.9044687615109104
2011-11-21,82.312820433,4.782,1.0293349204005977
2011-11-22,10.5759671718519,0.16,3.9527459903767004
2011-11-23,33.13715162465133,1.677,1.181628365178845
2011-11-24,80.20708713599001,3.675,1.3051312736779137
2011-11-25,24.6432177731,0.63,2.33913701225656
