Year,Month,Day,Hour,Minute,DNI,DNI(KWH)
2019,1,7,18,30,0,0.0
2019,1,7,19,30,0,0.0
2019,1,7,20,30,0,0.0
2019,1,7,21,30,0,0.0
2019,1,7,22,30,0,0.0
2019,1,7,23,30,0,0.0
2019,1,8,0,30,0,0.0
2019,1,8,1,30,0,0.0
2019,1,8,2,30,0,0.0
2019,1,8,3,30,0,0.0
2019,1,8,4,30,0,0.0
2019,1,8,5,30,0,0.0
2019,1,8,6,30,0,0.0
2019,1,8,7,30,20,0.02
2019,1,8,8,30,133,0.133
2019,1,8,9,30,493,0.493
2019,1,8,10,30,906,0.906
2019,1,8,11,30,936,0.936
2019,1,8,12,30,933,0.933
2019,1,8,13,30,913,0.913
2019,1,8,14,30,846,0.846
2019,1,8,15,30,705,0.705
2019,1,8,16,30,324,0.324
2019,1,8,17,30,0,0.0
2019,1,8,18,30,0,0.0
2019,1,8,19,30,0,0.0
2019,1,8,20,30,0,0.0
2019,1,8,21,30,0,0.0
2019,1,8,22,30,0,0.0
2019,1,8,23,30,0,0.0
2019,1,9,0,30,0,0.0
2019,1,9,1,30,0,0.0
2019,1,9,2,30,0,0.0
2019,1,9,3,30,0,0.0
2019,1,9,4,30,0,0.0
2019,1,9,5,30,0,0.0
2019,1,9,6,30,0,0.0
2019,1,9,7,30,23,0.023
2019,1,9,8,30,253,0.253
2019,1,9,9,30,820,0.82
2019,1,9,10,30,901,0.901
2019,1,9,11,30,934,0.934
2019,1,9,12,30,937,0.937
2019,1,9,13,30,921,0.921
2019,1,9,14,30,854,0.854
2019,1,9,15,30,713,0.713
2019,1,9,16,30,389,0.389
2019,1,9,17,30,0,0.0
2019,1,9,18,30,0,0.0
2019,1,9,19,30,0,0.0
2019,1,9,20,30,0,0.0
2019,1,9,21,30,0,0.0
2019,1,9,22,30,0,0.0
2019,1,9,23,30,0,0.0
2019,1,10,0,30,0,0.0
2019,1,10,1,30,0,0.0
2019,1,10,2,30,0,0.0
2019,1,10,3,30,0,0.0
2019,1,10,4,30,0,0.0
2019,1,10,5,30,0,0.0
2019,1,10,6,30,0,0.0
2019,1,10,7,30,9,0.009
2019,1,10,8,30,616,0.616
2019,1,10,9,30,811,0.811
2019,1,10,10,30,893,0.893
2019,1,10,11,30,928,0.928
2019,1,10,12,30,927,0.927
2019,1,10,13,30,908,0.908
2019,1,10,14,30,849,0.849
2019,1,10,15,30,712,0.712
2019,1,10,16,30,375,0.375
2019,1,10,17,30,0,0.0
2019,1,10,18,30,0,0.0
2019,1,10,19,30,0,0.0
2019,1,10,20,30,0,0.0
2019,1,10,21,30,0,0.0
2019,1,10,22,30,0,0.0
2019,1,10,23,30,0,0.0
2019,1,11,0,30,0,0.0
2019,1,11,1,30,0,0.0
2019,1,11,2,30,0,0.0
2019,1,11,3,30,0,0.0
2019,1,11,4,30,0,0.0
2019,1,11,5,30,0,0.0
2019,1,11,6,30,0,0.0
2019,1,11,7,30,0,0.0
2019,1,11,8,30,3,0.003
2019,1,11,9,30,0,0.0
2019,1,11,10,30,0,0.0
2019,1,11,11,30,22,0.022
2019,1,11,12,30,1,0.001
2019,1,11,13,30,0,0.0
2019,1,11,14,30,0,0.0
2019,1,11,15,30,0,0.0
2019,1,11,16,30,13,0.013
2019,1,11,17,30,0,0.0
2019,1,11,18,30,0,0.0
2019,1,11,19,30,0,0.0
2019,1,11,20,30,0,0.0
2019,1,11,21,30,0,0.0
2019,1,11,22,30,0,0.0
2019,1,11,23,30,0,0.0
2019,1,12,0,30,0,0.0
2019,1,12,1,30,0,0.0
2019,1,12,2,30,0,0.0
2019,1,12,3,30,0,0.0
2019,1,12,4,30,0,0.0
2019,1,12,5,30,0,0.0
2019,1,12,6,30,0,0.0
2019,1,12,7,30,0,0.0
2019,1,12,8,30,0,0.0
2019,1,12,9,30,0,0.0
2019,1,12,10,30,0,0.0
2019,1,12,11,30,0,0.0
2019,1,12,12,30,13,0.013
2019,1,12,13,30,0,0.0
2019,1,12,14,30,23,0.023
2019,1,12,15,30,17,0.017
2019,1,12,16,30,19,0.019
2019,1,12,17,30,0,0.0
2019,1,12,18,30,0,0.0
2019,1,12,19,30,0,0.0
2019,1,12,20,30,0,0.0
2019,1,12,21,30,0,0.0
2019,1,12,22,30,0,0.0
2019,1,12,23,30,0,0.0
2019,1,13,0,30,0,0.0
2019,1,13,1,30,0,0.0
2019,1,13,2,30,0,0.0
2019,1,13,3,30,0,0.0
2019,1,13,4,30,0,0.0
2019,1,13,5,30,0,0.0
2019,1,13,6,30,0,0.0
2019,1,13,7,30,9,0.009
2019,1,13,8,30,116,0.116
2019,1,13,9,30,303,0.303
2019,1,13,10,30,616,0.616
2019,1,13,11,30,544,0.544
2019,1,13,12,30,720,0.72
2019,1,13,13,30,848,0.848
2019,1,13,14,30,622,0.622
2019,1,13,15,30,666,0.666
2019,1,13,16,30,146,0.146
2019,1,13,17,30,0,0.0
2019,1,13,18,30,0,0.0
2019,1,13,19,30,0,0.0
2019,1,13,20,30,0,0.0
2019,1,13,21,30,0,0.0
2019,1,13,22,30,0,0.0
2019,1,13,23,30,0,0.0
2019,1,14,0,30,0,0.0
2019,1,14,1,30,0,0.0
2019,1,14,2,30,0,0.0
2019,1,14,3,30,0,0.0
2019,1,14,4,30,0,0.0
2019,1,14,5,30,0,0.0
2019,1,14,6,30,0,0.0
2019,1,14,7,30,21,0.021
2019,1,14,8,30,0,0.0
2019,1,14,9,30,124,0.124
2019,1,14,10,30,14,0.014
2019,1,14,11,30,133,0.133
2019,1,14,12,30,200,0.2
2019,1,14,13,30,90,0.09
2019,1,14,14,30,29,0.029
2019,1,14,15,30,18,0.018
