Date,Hour,Minute,DNI,DNI(KWH)
2011-01-07,19,30,0,0.0
2011-01-07,20,30,0,0.0
2011-01-07,21,30,0,0.0
2011-01-07,22,30,0,0.0
2011-01-07,23,30,0,0.0
2011-01-08,0,30,0,0.0
2011-01-08,1,30,0,0.0
2011-01-08,2,30,0,0.0
2011-01-08,3,30,0,0.0
2011-01-08,4,30,0,0.0
2011-01-08,5,30,0,0.0
2011-01-08,6,30,0,0.0
2011-01-08,7,30,0,0.0
2011-01-08,8,30,601,0.601
2011-01-08,9,30,801,0.801
2011-01-08,10,30,886,0.886
2011-01-08,11,30,918,0.918
2011-01-08,12,30,916,0.916
2011-01-08,13,30,887,0.887
2011-01-08,14,30,819,0.819
2011-01-08,15,30,676,0.676
2011-01-08,16,30,311,0.311
2011-01-08,17,30,0,0.0
2011-01-08,18,30,0,0.0
2011-01-08,19,30,0,0.0
2011-01-08,20,30,0,0.0
2011-01-08,21,30,0,0.0
2011-01-08,22,30,0,0.0
2011-01-08,23,30,0,0.0
2011-01-09,0,30,0,0.0
2011-01-09,1,30,0,0.0
2011-01-09,2,30,0,0.0
2011-01-09,3,30,0,0.0
2011-01-09,4,30,0,0.0
2011-01-09,5,30,0,0.0
2011-01-09,6,30,0,0.0
2011-01-09,7,30,0,0.0
2011-01-09,8,30,517,0.517
2011-01-09,9,30,718,0.718
2011-01-09,10,30,809,0.809
2011-01-09,11,30,277,0.277
2011-01-09,12,30,449,0.449
2011-01-09,13,30,345,0.345
2011-01-09,14,30,453,0.453
2011-01-09,15,30,441,0.441
2011-01-09,16,30,113,0.113
2011-01-09,17,30,0,0.0
2011-01-09,18,30,0,0.0
2011-01-09,19,30,0,0.0
2011-01-09,20,30,0,0.0
2011-01-09,21,30,0,0.0
2011-01-09,22,30,0,0.0
2011-01-09,23,30,0,0.0
2011-01-10,0,30,0,0.0
2011-01-10,1,30,0,0.0
2011-01-10,2,30,0,0.0
2011-01-10,3,30,0,0.0
2011-01-10,4,30,0,0.0
2011-01-10,5,30,0,0.0
2011-01-10,6,30,0,0.0
2011-01-10,7,30,0,0.0
2011-01-10,8,30,44,0.044
2011-01-10,9,30,240,0.24
2011-01-10,10,30,238,0.238
2011-01-10,11,30,122,0.122
2011-01-10,12,30,45,0.045
2011-01-10,13,30,41,0.041
2011-01-10,14,30,203,0.203
2011-01-10,15,30,76,0.076
2011-01-10,16,30,0,0.0
2011-01-10,17,30,0,0.0
2011-01-10,18,30,0,0.0
2011-01-10,19,30,0,0.0
2011-01-10,20,30,0,0.0
2011-01-10,21,30,0,0.0
2011-01-10,22,30,0,0.0
2011-01-10,23,30,0,0.0
2011-01-11,0,30,0,0.0
2011-01-11,1,30,0,0.0
2011-01-11,2,30,0,0.0
2011-01-11,3,30,0,0.0
2011-01-11,4,30,0,0.0
2011-01-11,5,30,0,0.0
2011-01-11,6,30,0,0.0
2011-01-11,7,30,0,0.0
2011-01-11,8,30,0,0.0
2011-01-11,9,30,0,0.0
2011-01-11,10,30,58,0.058
2011-01-11,11,30,55,0.055
2011-01-11,12,30,0,0.0
2011-01-11,13,30,18,0.018
2011-01-11,14,30,3,0.003
2011-01-11,15,30,0,0.0
