Year,Month,Day,Hour,Minute,DNI,Wind Speed,Relative Humidity,Temperature,Pressure,DNI(KWH)
2014,1,1,0,30,0,4.4,78.16,-11,990,0.0
2014,1,1,1,30,0,4.6000000000000005,77.22,-11,990,0.0
2014,1,1,2,30,0,4.6000000000000005,76.11,-12,990,0.0
2014,1,1,3,30,0,4.6000000000000005,74.61,-12,990,0.0
2014,1,1,4,30,0,4.800000000000001,72.72,-12,990,0.0
2014,1,1,5,30,0,5.2,70.13,-12,990,0.0
2014,1,1,6,30,0,5.4,66.91,-12,990,0.0
2014,1,1,7,30,0,5.5,69.54,-13,990,0.0
2014,1,1,8,30,89,5.5,68.93,-13,990,0.089
2014,1,1,9,30,0,5.4,65.17,-12,990,0.0
2014,1,1,10,30,0,5.2,68.08,-11,990,0.0
2014,1,1,11,30,27,4.9,66.87,-11,990,0.027
2014,1,1,12,30,0,5.0,66.03,-10,990,0.0
2014,1,1,13,30,0,5.1000000000000005,70.14,-10,990,0.0
2014,1,1,14,30,28,5.4,73.5,-10,990,0.028
2014,1,1,15,30,19,5.4,75.08,-10,990,0.019
2014,1,1,16,30,0,5.300000000000001,74.77,-10,990,0.0
2014,1,1,17,30,0,5.300000000000001,78.58,-10,990,0.0
2014,1,1,18,30,0,5.5,74.88,-11,990,0.0
2014,1,1,19,30,0,5.6000000000000005,70.74,-11,1000,0.0
2014,1,1,20,30,0,5.5,72.53,-12,1000,0.0
2014,1,1,21,30,0,5.300000000000001,69.27,-12,1000,0.0
2014,1,1,22,30,0,5.300000000000001,66.43,-12,1000,0.0
2014,1,1,23,30,0,5.4,69.13,-13,1000,0.0
2014,1,2,0,30,0,5.300000000000001,66.69,-13,1000,0.0
2014,1,2,1,30,0,5.0,64.64,-13,1000,0.0
2014,1,2,2,30,0,4.6000000000000005,67.41,-14,1000,0.0
2014,1,2,3,30,0,4.3,69.29,-15,1000,0.0
2014,1,2,4,30,0,4.4,65.89,-15,1000,0.0
2014,1,2,5,30,0,4.4,64.29,-15,1000,0.0
2014,1,2,6,30,0,4.2,64.08,-15,1000,0.0
2014,1,2,7,30,0,4.3,59.49,-14,1000,0.0
2014,1,2,8,30,0,4.7,58.59,-13,1000,0.0
2014,1,2,9,30,0,5.0,59.46,-12,1000,0.0
2014,1,2,10,30,831,4.9,55.41,-10,1000,0.831
2014,1,2,11,30,873,4.800000000000001,59.99,-9,1000,0.873
2014,1,2,12,30,883,4.7,58.26,-9,1000,0.883
2014,1,2,13,30,863,4.6000000000000005,59.16,-9,1000,0.863
2014,1,2,14,30,799,4.5,58.7,-9,1000,0.799
2014,1,2,15,30,654,3.9,61.99,-10,1000,0.654
2014,1,2,16,30,252,3.1,68.02,-11,1000,0.252
2014,1,2,17,30,0,2.7,67.24,-12,1000,0.0
2014,1,2,18,30,0,2.6,64.12,-13,1000,0.0
2014,1,2,19,30,0,2.5,67.19,-14,1000,0.0
2014,1,2,20,30,0,2.0,71.32000000000001,-15,1000,0.0
2014,1,2,21,30,0,1.4,71.64,-15,1000,0.0
2014,1,2,22,30,0,1.0,79.03,-16,1000,0.0
2014,1,2,23,30,0,0.7000000000000001,79.59,-16,1000,0.0
2014,1,3,0,30,0,0.7000000000000001,79.23,-16,1000,0.0
2014,1,3,1,30,0,1.0,83.56,-17,1000,0.0
2014,1,3,2,30,0,1.2000000000000002,82.32000000000001,-17,1000,0.0
2014,1,3,3,30,0,1.6,81.12,-17,1000,0.0
2014,1,3,4,30,0,2.1,84.47,-18,1000,0.0
2014,1,3,5,30,0,2.4000000000000004,82.23,-18,1000,0.0
2014,1,3,6,30,0,2.7,74.8,-17,1000,0.0
2014,1,3,7,30,0,3.7,69.86,-16,1000,0.0
2014,1,3,8,30,0,5.0,71.99,-15,1000,0.0
2014,1,3,9,30,0,6.1000000000000005,66.36,-13,1000,0.0
2014,1,3,10,30,0,6.9,61.53,-11,990,0.0
2014,1,3,11,30,0,7.4,57.66,-9,990,0.0
2014,1,3,12,30,151,7.800000000000001,55.09,-7,990,0.151
2014,1,3,13,30,123,8.0,57.26,-5,990,0.123
2014,1,3,14,30,752,7.800000000000001,58.6,-5,990,0.752
2014,1,3,15,30,223,7.300000000000001,63.03,-5,980,0.223
2014,1,3,16,30,193,7.2,70.81,-6,980,0.193
2014,1,3,17,30,0,7.4,72.95,-6,980,0.0
2014,1,3,18,30,0,7.7,75.14,-6,980,0.0
2014,1,3,19,30,0,8.0,77.15,-6,980,0.0
2014,1,3,20,30,0,8.200000000000001,78.97,-6,980,0.0
2014,1,3,21,30,0,8.3,80.95,-5,980,0.0
2014,1,3,22,30,0,8.200000000000001,77.72,-5,980,0.0
2014,1,3,23,30,0,7.800000000000001,80.98,-5,980,0.0
2014,1,4,0,30,0,7.4,84.32000000000001,-5,980,0.0
2014,1,4,1,30,0,7.4,81.37,-4,980,0.0
2014,1,4,2,30,0,7.4,84.54,-4,980,0.0
2014,1,4,3,30,0,7.1000000000000005,81.81,-3,980,0.0
2014,1,4,4,30,0,6.800000000000001,85.96000000000001,-2,980,0.0
2014,1,4,5,30,0,6.4,83.35000000000001,-2,980,0.0
2014,1,4,6,30,0,5.800000000000001,85.96000000000001,-2,980,0.0
2014,1,4,7,30,0,5.300000000000001,81.9,-1,980,0.0
2014,1,4,8,30,0,5.0,84.92,0,980,0.0
2014,1,4,9,30,0,4.6000000000000005,87.49,0,980,0.0
2014,1,4,10,30,0,4.3,81.81,-1,980,0.0
2014,1,4,11,30,20,4.5,73.31,-2,980,0.02
2014,1,4,12,30,0,4.800000000000001,67.03,-3,980,0.0
2014,1,4,13,30,0,4.7,61.93,-3,980,0.0
2014,1,4,14,30,40,4.4,65.07000000000001,-4,980,0.04
2014,1,4,15,30,77,3.6,64.49,-4,980,0.077
2014,1,4,16,30,0,2.9000000000000004,68.96000000000001,-5,990,0.0
2014,1,4,17,30,0,2.9000000000000004,72.95,-5,990,0.0
2014,1,4,18,30,0,3.3000000000000003,72.3,-6,990,0.0
2014,1,4,19,30,0,3.7,71.55,-6,990,0.0
2014,1,4,20,30,0,4.0,69.49,-6,990,0.0
2014,1,4,21,30,0,4.4,70.74,-7,990,0.0
2014,1,4,22,30,0,4.800000000000001,69.92,-8,990,0.0
2014,1,4,23,30,0,5.1000000000000005,63.77,-8,990,0.0
2014,1,5,0,30,0,5.1000000000000005,62.940000000000005,-9,990,0.0
2014,1,5,1,30,0,5.300000000000001,63.120000000000005,-10,990,0.0
2014,1,5,2,30,0,5.6000000000000005,59.17,-10,990,0.0
2014,1,5,3,30,0,6.0,60.69,-11,990,0.0
