Year,Month,Day,Hour,Minute,DNI,Wind Speed,Relative Humidity,Temperature,Pressure,DNI(KWH)
2018,1,1,0,30,0,3.5,70.49,-24.4,1015,0.0
2018,1,1,1,30,0,3.4000000000000004,72.0,-24.700000000000003,1015,0.0
2018,1,1,2,30,0,3.4000000000000004,73.36,-24.9,1016,0.0
2018,1,1,3,30,0,3.6,75.14,-25.200000000000003,1016,0.0
2018,1,1,4,30,0,3.7,75.13,-25.3,1016,0.0
2018,1,1,5,30,0,3.7,73.8,-25.200000000000003,1016,0.0
2018,1,1,6,30,0,3.8,71.68,-24.9,1016,0.0
2018,1,1,7,30,44,4.0,67.58,-24.1,1017,0.044
2018,1,1,8,30,382,4.3,63.89,-22.700000000000003,1017,0.382
2018,1,1,9,30,799,4.3,59.71,-21.200000000000003,1017,0.799
2018,1,1,10,30,920,4.1000000000000005,56.4,-19.700000000000003,1017,0.92
2018,1,1,11,30,955,4.0,54.7,-18.4,1016,0.955
2018,1,1,12,30,954,4.0,53.74,-17.2,1016,0.954
2018,1,1,13,30,938,3.9,54.29,-16.5,1015,0.938
2018,1,1,14,30,877,3.6,56.44,-16.400000000000002,1015,0.877
2018,1,1,15,30,742,3.0,63.71,-17.6,1015,0.742
2018,1,1,16,30,306,2.5,67.65,-19.4,1015,0.306
2018,1,1,17,30,0,2.3000000000000003,70.36,-20.200000000000003,1015,0.0
2018,1,1,18,30,0,2.4000000000000004,76.35000000000001,-21.200000000000003,1015,0.0
2018,1,1,19,30,0,2.4000000000000004,80.15,-21.8,1015,0.0
2018,1,1,20,30,0,2.5,81.36,-22.1,1015,0.0
2018,1,1,21,30,0,2.6,81.21000000000001,-22.3,1014,0.0
2018,1,1,22,30,0,2.6,79.5,-22.3,1014,0.0
2018,1,1,23,30,0,2.7,77.12,-22.200000000000003,1014,0.0
2018,1,2,0,30,0,2.8000000000000003,75.59,-21.9,1014,0.0
2018,1,2,1,30,0,2.9000000000000004,76.55,-21.9,1013,0.0
2018,1,2,2,30,0,2.9000000000000004,76.10000000000001,-22.0,1013,0.0
2018,1,2,3,30,0,3.0,75.08,-22.0,1012,0.0
2018,1,2,4,30,0,3.1,74.86,-22.0,1012,0.0
2018,1,2,5,30,0,3.2,74.77,-22.0,1011,0.0
2018,1,2,6,30,0,3.3000000000000003,74.28,-21.9,1011,0.0
2018,1,2,7,30,45,3.5,70.73,-21.3,1010,0.045
2018,1,2,8,30,363,4.0,65.41,-19.700000000000003,1010,0.363
2018,1,2,9,30,657,4.4,60.02,-17.6,1009,0.657
2018,1,2,10,30,920,4.7,55.07,-15.5,1008,0.92
2018,1,2,11,30,939,5.1000000000000005,50.28,-13.4,1007,0.939
2018,1,2,12,30,947,5.5,47.45,-11.8,1005,0.947
2018,1,2,13,30,911,5.9,46.48,-10.8,1003,0.911
2018,1,2,14,30,843,5.800000000000001,47.68,-10.4,1002,0.843
2018,1,2,15,30,675,5.300000000000001,52.98,-11.2,1000,0.675
2018,1,2,16,30,248,5.0,58.31,-12.4,998,0.248
2018,1,2,17,30,0,5.1000000000000005,59.75,-12.9,998,0.0
2018,1,2,18,30,0,4.4,62.51,-13.4,997,0.0
2018,1,2,19,30,0,4.800000000000001,63.02,-13.2,996,0.0
2018,1,2,20,30,0,5.1000000000000005,63.59,-12.8,994,0.0
2018,1,2,21,30,0,5.1000000000000005,64.7,-12.2,993,0.0
2018,1,2,22,30,0,5.0,67.56,-11.7,992,0.0
2018,1,2,23,30,0,4.7,69.63,-11.3,991,0.0
2018,1,3,0,30,0,4.3,71.43,-11.0,991,0.0
2018,1,3,1,30,0,3.7,74.67,-10.8,991,0.0
2018,1,3,2,30,0,3.5,77.55,-10.5,991,0.0
2018,1,3,3,30,0,4.0,80.36,-10.3,992,0.0
2018,1,3,4,30,0,4.800000000000001,79.31,-10.5,992,0.0
2018,1,3,5,30,0,5.2,75.89,-11.5,993,0.0
2018,1,3,6,30,0,5.0,71.94,-12.9,994,0.0
2018,1,3,7,30,35,4.9,65.59,-13.6,995,0.035
2018,1,3,8,30,278,5.6000000000000005,60.13,-12.9,996,0.278
2018,1,3,9,30,418,6.4,56.620000000000005,-12.0,996,0.418
2018,1,3,10,30,260,6.4,55.78,-11.5,997,0.26
2018,1,3,11,30,307,6.300000000000001,56.91,-11.2,997,0.307
2018,1,3,12,30,312,6.2,58.58,-11.2,997,0.312
2018,1,3,13,30,541,6.0,59.52,-11.3,997,0.541
2018,1,3,14,30,320,5.800000000000001,60.67,-11.6,998,0.32
2018,1,3,15,30,209,5.4,62.58,-12.2,998,0.209
2018,1,3,16,30,33,4.800000000000001,64.26,-12.9,998,0.033
2018,1,3,17,30,0,4.4,63.9,-13.3,999,0.0
2018,1,3,18,30,0,3.6,68.77,-14.9,999,0.0
2018,1,3,19,30,0,3.1,71.03,-16.0,1000,0.0
2018,1,3,20,30,0,2.9000000000000004,74.03,-16.900000000000002,1000,0.0
2018,1,3,21,30,0,2.8000000000000003,77.47,-17.6,1000,0.0
2018,1,3,22,30,0,2.7,79.81,-18.0,1001,0.0
2018,1,3,23,30,0,2.8000000000000003,82.07000000000001,-18.4,1001,0.0
2018,1,4,0,30,0,2.8000000000000003,83.33,-18.7,1001,0.0
2018,1,4,1,30,0,2.7,83.51,-18.9,1001,0.0
2018,1,4,2,30,0,2.6,83.63,-19.1,1002,0.0
2018,1,4,3,30,0,2.6,82.87,-19.200000000000003,1002,0.0
2018,1,4,4,30,0,2.6,82.72,-19.4,1002,0.0
2018,1,4,5,30,0,2.5,82.16,-19.5,1002,0.0
2018,1,4,6,30,0,2.4000000000000004,82.15,-19.6,1002,0.0
2018,1,4,7,30,25,2.4000000000000004,77.97,-19.1,1003,0.025
2018,1,4,8,30,77,2.6,66.05,-17.2,1003,0.077
2018,1,4,9,30,186,2.6,58.38,-15.0,1003,0.186
2018,1,4,10,30,219,2.3000000000000003,54.22,-13.5,1003,0.219
2018,1,4,11,30,438,2.2,52.73,-12.5,1002,0.438
2018,1,4,12,30,307,2.1,52.51,-11.9,1001,0.307
2018,1,4,13,30,197,2.2,53.0,-11.6,1001,0.197
2018,1,4,14,30,35,2.2,54.61,-11.7,1001,0.035
2018,1,4,15,30,0,2.0,58.28,-12.1,1001,0.0
2018,1,4,16,30,14,1.7000000000000002,61.03,-12.6,1001,0.014
2018,1,4,17,30,0,1.7000000000000002,60.98,-12.9,1001,0.0
2018,1,4,18,30,0,1.7000000000000002,62.49,-13.0,1001,0.0
2018,1,4,19,30,0,1.7000000000000002,64.23,-13.1,1001,0.0
2018,1,4,20,30,0,1.7000000000000002,65.67,-13.2,1001,0.0
2018,1,4,21,30,0,1.7000000000000002,66.94,-13.3,1002,0.0
2018,1,4,22,30,0,1.7000000000000002,67.49,-13.4,1002,0.0
2018,1,4,23,30,0,1.7000000000000002,67.96000000000001,-13.6,1002,0.0
2018,1,5,0,30,0,1.7000000000000002,68.25,-13.8,1002,0.0
2018,1,5,1,30,0,1.7000000000000002,68.4,-14.0,1002,0.0
2018,1,5,2,30,0,1.8,69.03,-14.3,1002,0.0
2018,1,5,3,30,0,1.9,69.66,-14.6,1003,0.0
2018,1,5,4,30,0,2.1,70.9,-15.1,1003,0.0
2018,1,5,5,30,0,2.1,73.68,-16.0,1004,0.0
